address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
480 Mission Bay Blvd. North #1007,2,2,1576,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-north-1007/,-122.389,37.7711,2.48954,,,10,,0.035,38,rental,4500,closed,,1969-12-31,,Mission Bay,48,SF
74 New Montgomery #412,1,1,870,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-412/,-122.401,37.7875,7.64144,,,4,,0.0252438,39,rental,3800,closed,,2011-11-20,,Yerba Buena,19,SF
260 King St,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st/,-122.394,37.7774,4.2732,,,1,,0.0347701,40,rental,3500,closed,,2011-11-28,,South Beach,74,SF
555 4th St # 803,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-803/,-122.397,37.7791,3.09988,,,1,,0.0313466,41,rental,3500,closed,,2011-12-06,,South Beach,74,SF
16 Jessie St #407,1,1,450,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-407/,-122.399,37.7899,5.27414,,,4,1,0.0270224,42,rental,2000,closed,,2011-12-20,,Yerba Buena,19,SF
555 4th St # 734,1,1,590,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-734/,-122.397,37.7791,3.09988,,,1,,0.0313466,43,rental,0,closed,,2011-12-20,,South Beach,74,SF
55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,37.774,13.962,,,8,1,0.0111306,44,rental,3200,closed,,2011-12-20,,Hayes Valley,27,SF
235 Berry Street #102,2,2,1255,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-street-102/,-122.394,37.7749,2.62042,,,1,,0.0347701,45,rental,4300,closed,,2012-01-28,,South Beach,74,SF
1340 Clay Street #402,2,2,1670,climbsf_rented,http://www.climbsf.com/for-rent/1340-clay-st-402/,-122.415,37.7934,103.826,,,4,,0.0111987,46,rental,5975,closed,,2013-02-20,,Nob Hill,93,SF
1979 Clay Street,3,2,2000,climbsf_rented,http://www.climbsf.com/for-rent/1979-clay-st/,-122.425,37.7915,87.393,,,1,,0.0010198,47,rental,5250,closed,,2013-02-26,,Pacific Heights,62,SF
201 Harrison Street #711,1,1,795,climbsf_rented,http://www.climbsf.com/for-rent/201-harrison-st-711/,-122.39,37.7877,9.17842,,,7,,0.0361509,48,rental,2600,closed,,2013-02-28,,South Beach,74,SF
1703 Powell Street,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/1703-powell-st/,-122.411,37.8003,23.9782,,,1,,0.0169068,49,rental,6200,closed,,2013-02-28,,North Beach,54,SF
235 Berry Street #107,3,3,2000,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-st-107-2/,-122.394,37.7749,2.44738,,,1,,0.0347701,50,rental,7500,closed,,2013-03-04,,South Beach,74,SF
338 Spear Street #18B,2,2,1322,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-18b/,-122.391,37.7894,0.0,,,18,,0.0350366,51,rental,5700,closed,,2013-03-04,,South Beach,74,SF
682 28th Street,2,2,2300,climbsf_rented,http://www.climbsf.com/for-rent/682-28th-st/,-122.437,37.7449,164.08,,,1,,0.00494065,52,rental,4500,closed,,2013-03-19,,Noe Valley,53,SF
2712A Pine Street,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/2712a-pine-st/,-122.441,37.7873,55.6704,,,1,,0.00352278,53,rental,3700,closed,,2013-03-20,,Lower Pacific Heights,42,SF
16 Jessie Street #311,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-311/,-122.399,37.7899,5.27414,,,3,1,0.0270224,54,rental,3100,closed,,2013-03-26,,Yerba Buena,19,SF
999 16th Street #15,1,1,1500,climbsf_rented,http://www.climbsf.com/for-rent/999-16th-st-15/,-122.397,37.7662,5.06241,,,1,,0.0265068,55,rental,3900,closed,,2013-03-26,,Potrero Hill,67,SF
400 Beale Street #406,2,1,1038,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-406/,-122.391,37.7871,7.36737,,,4,1,0.0352166,56,rental,3500,closed,,2013-04-08,,South Beach,74,SF
425 1st Street #907,1,1,819,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-street-907/,-122.392,37.7858,31.017,,,9,1,0.0343953,57,rental,3200,closed,,2013-04-08,,South Beach,74,SF
5 Sparta Street,3,2,1780,climbsf_rented,http://www.climbsf.com/for-rent/5-sparta-st/,-122.403,37.7181,97.0219,,,1,,0.00516624,58,rental,3450,closed,,2013-04-10,,Visitacion Valley,81,SF
403 Main Street #410,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-410/,-122.39,37.7881,6.86612,,,4,,0.0361166,59,rental,3500,closed,,2013-04-12,,South Beach,74,SF
333 Main Street #4D,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4d/,-122.391,37.789,1.80794,,,4,,0.0350571,60,rental,3500,closed,,2013-04-24,,South Beach,74,SF
50 Lansing Street #209,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-209/,-122.394,37.786,27.3115,,,2,,0.0323883,61,rental,2975,closed,,2013-05-16,,South Beach,74,SF
425 1st Street #2802,2,2,1449,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-2802/,-122.392,37.7858,31.017,,,28,1,0.0343953,62,rental,0,closed,,2013-05-16,,South Beach,74,SF
355 Buena Vista Avenue East #305W,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/,-122.44,37.7673,130.553,,,30,,0.000353553,63,rental,2700,closed,,2013-05-21,,Buena Vista Park/Ashbury Heights,6,SF
338 Spear Street #3C,1,1,799,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-3c/,-122.391,37.7894,0.0,,,3,,0.0350366,64,rental,0,closed,,2013-05-28,,South Beach,74,SF
333 Main Street #7E,2,2,1361,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-7e/,-122.391,37.789,1.80794,,,7,,0.0350571,65,rental,4900,closed,,2013-05-31,,South Beach,74,SF
1097 Howard Street #304,1,1,1056,climbsf_rented,http://www.climbsf.com/for-rent/1097-howard-st-304/,-122.409,37.7779,6.48905,,,3,,0.0214618,66,rental,3700,closed,,2013-06-04,,South of Market,75,SF
4517 18th Street,3,3,1400,climbsf_rented,http://www.climbsf.com/for-rent/4517-18th-st/,-122.44,37.7604,45.9379,,,1,,0.00364005,67,rental,5800,closed,,2013-06-04,,Eureka Valley / Dolores Heights,16,SF
300 Third Street #1114,2,2,1161,climbsf_rented,http://www.climbsf.com/for-rent/300-3rd-st-1114/,-122.399,37.7835,7.1333,,,11,,0.0280223,68,rental,4100,closed,,2013-06-05,,Yerba Buena,19,SF
400 Beale Street #506,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-506/,-122.391,37.7871,7.36737,,,5,1,0.0352166,69,rental,3700,closed,,2013-06-05,,South Beach,74,SF
1160 Mission Street #1905,1,1,664,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1905/,-122.412,37.7784,12.0417,,,19,,0.0188351,70,rental,3250,closed,,2013-06-25,,South of Market,75,SF
140 South Van Ness Avenue #922,2,2,1160,climbsf_rented,http://www.climbsf.com/for-rent/140-south-van-ness-ave-922/,-122.419,37.7716,9.43102,,,9,,0.0124535,71,rental,3800,closed,,2013-07-03,,South of Market,75,SF
88 King Street #904,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-904/,-122.389,37.7807,3.99835,,,9,1,0.0384069,73,rental,6250,closed,,2013-07-09,,South Beach,74,SF
3009 Sacramento Street #2,4,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/3009-sacramento-st-2/,-122.443,37.7885,63.5342,,,1,,0.00434626,74,rental,5500,closed,,2013-07-09,,Pacific Heights,62,SF
480 Mission Bay Boulevard North #1608,2,2,1344,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-1608/,-122.389,37.7711,2.48954,,,16,,0.035,75,rental,5475,closed,,2013-07-15,,Mission Bay,48,SF
2075 Sutter Street #521,2,2,1068,climbsf_rented,http://www.climbsf.com/for-rent/2075-sutter-st-521/,-122.435,37.7857,46.3843,,,5,,0.005001,76,rental,4100,closed,,2013-07-16,,Lower Pacific Heights,42,SF
One Hawthorne Street #2J,1,1,794,climbsf_rented,http://www.climbsf.com/for-rent/1-hawthorne-st-2j/,-122.399,37.7857,8.63035,,,2,,0.0275153,77,rental,3300,closed,,2013-07-22,,Yerba Buena,19,SF
325 Berry Street #317,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-317/,-122.396,37.7736,2.45283,,,3,,0.0324236,78,rental,3650,closed,,2013-07-22,,South Beach,74,SF
38 Beideman Street,2,1,960,climbsf_rented,http://www.climbsf.com/for-rent/38-beideman-st/,-122.438,37.7821,49.0507,,,1,,0.00547814,79,rental,3500,closed,,2013-07-30,,Western Addition,83,SF
1288 McAllister Street #201,2,1,1216,climbsf_rented,http://www.climbsf.com/for-rent/1288-mcallister-st-201/,-122.433,37.7787,44.4733,,,2,,0.0013,80,rental,4000,closed,,2013-07-30,,Western Addition,83,SF
755 Tennessee Street #2,2,2,1366,climbsf_rented,http://www.climbsf.com/for-rent/755-tennessee-st-2/,-122.389,37.7623,10.2006,,,1,,0.0285217,81,rental,4450,closed,,2013-07-30,,Central Waterfront/Dogpatch,89,SF
338 Spear Street #39A,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-39a/,-122.391,37.7894,0.0,,,39,,0.0350366,82,rental,6700,closed,,2013-08-01,,South Beach,74,SF
333 Main Street #9D,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-9d/,-122.391,37.789,1.80794,,,9,,0.0350571,83,rental,5500,closed,,2013-08-01,,South Beach,74,SF
3156 Turk Street #A,4,2,2100,climbsf_rented,http://www.climbsf.com/for-rent/3156-turk-st-a/,-122.458,37.7776,69.3169,,,1,,0.0034,84,rental,5000,closed,,2013-08-09,,Lone Mountain,41,SF
451 Kansas Street #489,0,1,453,climbsf_rented,http://www.climbsf.com/for-rent/451-kansas-st-489/,-122.403,37.7639,21.4412,,,4,,0.0219463,85,rental,2600,closed,,2013-08-09,,Potrero Hill,67,SF
868 Minnesota Street #313,1,1,835,climbsf_rented,http://www.climbsf.com/for-rent/868-minnesota-st-313/,-122.391,37.7597,16.3891,,,3,,0.025296,86,rental,3400,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
2030 Third Street #6,1,2,882,climbsf_rented,http://www.climbsf.com/for-rent/2030-3rd-st-6/,-122.389,37.7637,6.3825,,,1,,0.00941754,87,rental,3500,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
333 Main Street #7B,2,2,1113,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-7b/,-122.391,37.789,1.80794,,,7,,0.0189694,88,rental,4475,closed,2,2015-11-16,2015-11-14,South Beach,74,SF
229 Brannan Street #12J,2,2,1425,climbsf_rented,http://www.climbsf.com/for-rent/229-brannan-st-12j/,-122.39,37.7826,6.83539,,,12,,0.036967,89,rental,5950,closed,,2013-08-29,,South Beach,74,SF
555 Bartlett Street #413,2,2,1135,climbsf_rented,http://www.climbsf.com/for-rent/555-bartlett-st-413/,-122.419,37.7484,29.7804,,,4,,0.00453431,90,rental,4050,closed,,2013-09-10,,Inner Mission,33,SF
997 14th Street,1,1,600,climbsf_rented,http://www.climbsf.com/for-rent/997-14th-st/,-122.435,37.7672,72.7381,,,1,,0.00256125,91,rental,2700,closed,,2013-09-16,,Duboce Triangle,15,SF
325 Berry Street #701,2,2,1903,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-701/,-122.396,37.7736,2.45283,,,7,,0.0324236,92,rental,6500,closed,,2013-09-18,,South Beach,74,SF
1160 Mission Street #1611,1,1,765,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1611/,-122.412,37.7784,12.0417,,,16,,0.0188351,93,rental,3150,closed,,2013-09-18,,South of Market,75,SF
403 Main Street #416,1,1,900,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-416/,-122.39,37.7881,6.86612,,,4,,0.0361166,94,rental,3500,closed,,2013-09-26,,South Beach,74,SF
325 Berry Street #614,1,1,680,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-614/,-122.396,37.7736,2.45283,,,6,,0.0324236,95,rental,3350,closed,,2013-09-27,,South Beach,74,SF
301 Main Street #6B,2,2,1793,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-6b/,-122.391,37.7894,4.83899e-05,,,6,1,0.0350366,96,rental,6600,closed,,2013-10-01,,South Beach,74,SF
219 Brannan Street #7E,2,2,1116,climbsf_rented,http://www.climbsf.com/for-rent/219-brannan-st-7e/,-122.39,37.783,4.0227,,,7,1,0.0368782,97,rental,5200,closed,,2013-10-15,,South Beach,74,SF
900 Bush Street #410,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/900-bush-st-410/,-122.413,37.79,62.3965,,,4,1,0.0130384,98,rental,2100,closed,,2013-10-22,,Downtown,14,SF
723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,37.6665,,,1,,0.00401123,99,rental,3450,closed,,2013-10-22,,Bernal Heights,5,SF
338 Spear Street #21G,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-21g/,-122.391,37.7894,0.0,,,21,,0.0350366,101,rental,0,closed,,2013-11-19,,South Beach,74,SF
26 Waldo Alley,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/26-waldo-alley/,-122.417,37.797,70.3667,,,1,,0.0100623,102,rental,0,closed,,2013-11-19,,Russian Hill,70,SF
555 4th Street #417,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-417/,-122.397,37.7791,3.09988,,,4,,0.0313466,103,rental,4000,closed,,2013-11-19,,South Beach,74,SF
18 Lansing Street #201,2,2,1173,climbsf_rented,http://www.climbsf.com/for-rent/18-lansing-st-201/,-122.394,37.7864,23.0383,,,2,,0.0323289,104,rental,3700,closed,,2013-11-25,,South Beach,74,SF
318 Spear Street #5C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/318-spear-st-5c/,-122.391,37.7897,0.0,,,5,,0.0350241,105,rental,3700,closed,,2013-11-25,,South Beach,74,SF
501 Beale Street #8D,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-8d/,-122.389,37.7863,2.86181,,,8,1,0.0372973,106,rental,5600,closed,,2013-11-26,,South Beach,74,SF
301 Mission Street #701,2,2,1955,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-701/,-122.396,37.7905,0.0,,,7,1,0.0300042,107,rental,7400,closed,,2013-12-11,,Yerba Buena,19,SF
425 1st Street #3503,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3503/,-122.392,37.7858,31.017,,,35,1,0.0343953,108,rental,5500,closed,,2013-12-12,,South Beach,74,SF
325 Berry Street #506,1,1,883,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-506/,-122.396,37.7736,2.45283,,,5,,0.0324236,109,rental,3300,closed,,2013-12-16,,South Beach,74,SF
425 1st Street #3704,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3704/,-122.392,37.7858,31.017,,,37,1,0.0343953,110,rental,3300,closed,,2013-12-16,,South Beach,74,SF
425 1st Street #4501,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-4501/,-122.392,37.7858,31.017,,,45,1,0.0343953,111,rental,4000,closed,,2013-12-18,,South Beach,74,SF
49 Zoe Street #4,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/49-zoe-st-4/,-122.396,37.7801,4.80433,,,1,,0.0319188,114,rental,3500,closed,,2013-12-26,,South Beach,74,SF
74 New Montgomery Street #515,1,1,824,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-515/,-122.401,37.7875,7.64144,,,5,1,0.0252438,115,rental,3700,closed,,2013-12-26,,Yerba Buena,19,SF
66 Cleary Court #306,3,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/66-cleary-ct-306/,-122.427,37.7842,57.8952,,,3,,0.00670522,116,rental,4400,closed,,2013-12-31,,Western Addition,83,SF
1940 Stockton Street #104,2,2,1363,climbsf_rented,http://www.climbsf.com/for-rent/1940-stockton-st-104/,-122.41,37.8038,26.2203,,,1,,0.019588,117,rental,0,closed,,2014-01-06,,North Beach,54,SF
250 King Street #536,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/250-king-st-536/,-122.393,37.7782,5.82981,,,5,1,0.0353955,118,rental,2975,closed,,2014-01-07,,South Beach,74,SF
373 Green Street,1,1,800,climbsf_rented,http://www.climbsf.com/for-rent/373-green-st/,-122.405,37.8,58.6566,,,1,,0.0222991,119,rental,3200,closed,,2014-01-10,,Telegraph Hill,78,SF
970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,187.545,,,30,,0.0014,120,rental,3300,closed,,2014-01-13,,Diamond Heights,13,SF
650 Turk Street #501,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/650-turk-st-501/,-122.42,37.7824,28.6855,,,5,,0.0104862,121,rental,2950,closed,,2014-01-20,,Van Ness/Civic Center,80,SF
333 Main Street #4C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4c/,-122.391,37.789,1.80794,,,4,,0.0350571,123,rental,3300,closed,,2014-01-28,,South Beach,74,SF
501 Beale Street #4D,1,1,759,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-4d/,-122.389,37.7863,2.86181,,,4,1,0.0372973,124,rental,3800,closed,,2014-01-28,,South Beach,74,SF
1160 Mission Street #901,2,2,1184,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-901/,-122.412,37.7784,12.0417,,,9,,0.0188351,125,rental,4450,closed,,2014-01-28,,South of Market,75,SF
374 27th Avenue,2,1,1350,climbsf_rented,http://www.climbsf.com/for-rent/374-27th-ave/,-122.487,37.7824,49.1082,,,1,,0.0060407,126,rental,3900,closed,,2014-01-29,,Central Richmond,7,SF
403 Main Street #515,2,2,1207,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-515/,-122.39,37.7881,6.86612,,,5,,0.0361166,127,rental,4150,closed,,2014-02-03,,South Beach,74,SF
301 Main Street #25E,2,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-25e/,-122.391,37.7894,4.83899e-05,,,25,1,0.0350366,129,rental,5800,closed,,2014-02-12,,South Beach,74,SF
425 1st Street #1608,1,1,755,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-1608/,-122.392,37.7858,31.017,,,16,1,0.0343953,130,rental,3800,closed,,2014-02-14,,South Beach,74,SF
1600 Webster Street #308,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1600-webster-st-308/,-122.431,37.7854,42.4765,,,3,,0.00557136,131,rental,3200,closed,,2014-02-18,,Lower Pacific Heights,42,SF
435 China Basin Street #634,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-634/,-122.389,37.7716,1.8728,,,6,,0.0354013,132,rental,5475,closed,,2014-02-18,,Mission Bay,48,SF
301 Main Street #10C,1,1,805,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-10c/,-122.391,37.7895,0.0,,,10,1,0.0350321,134,rental,3900,closed,,2014-02-22,,South Beach,74,SF
435 China Basin Street #441,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-441/,-122.389,37.7716,1.8728,,,4,,0.0354013,135,rental,4900,closed,,2014-02-25,,Mission Bay,48,SF
1536 Pacific Avenue #5,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/1536-pacific-ave-5/,-122.421,37.7954,55.4548,,,1,,0.00578014,136,rental,6000,closed,,2014-02-27,,Nob Hill,93,SF
1837 Jefferson Street,2,2,1345,climbsf_rented,http://www.climbsf.com/for-rent/1837-jefferson-st/,-122.443,37.8045,6.83862,,,1,,0.00354401,137,rental,6200,closed,,2014-03-04,,Marina,43,SF
300 Ivy Street #403,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-403/,-122.423,37.7774,20.4928,,,4,1,0.0101435,138,rental,3500,closed,,2014-03-10,,Hayes Valley,27,SF
301 Main Street #23F,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-23f/,-122.391,37.7894,4.83899e-05,,,23,1,0.0187019,139,rental,5500,closed,,2014-03-11,,South Beach,74,SF
655 Fifth Street #1,1,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/655-5th-st-1/,-122.398,37.7759,2.73163,,,1,,0.0318121,140,rental,3600,closed,,2014-03-11,,South of Market,75,SF
400 Beale Street #911,2,2,995,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-911/,-122.391,37.7871,7.36737,,,9,1,0.0352166,141,rental,3950,closed,,2014-03-18,,South Beach,74,SF
200 Brannan Street #323,1,1,783,climbsf_rented,http://www.climbsf.com/for-rent/200-brannan-st-323/,-122.391,37.7836,4.98208,,,3,1,0.0357737,142,rental,3400,closed,,2014-03-18,,South Beach,74,SF
88 King Street #106,2,2,1293,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-106/,-122.389,37.7807,3.99835,,,1,1,0.0384069,143,rental,4750,closed,,2014-03-25,,South Beach,74,SF
388 Townsend Street #4,1,2,940,climbsf_rented,http://www.climbsf.com/for-rent/388-townsend-st-4/,-122.397,37.7759,2.76722,,,1,,0.0326957,144,rental,3700,closed,,2014-03-25,,South of Market,75,SF
325 Berry Street #502,2,2,1514,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-502/,-122.396,37.7736,2.45283,,,5,,0.0324236,145,rental,5900,closed,,2014-03-25,,South Beach,74,SF
50 Lansing St. #406,2,2,1066,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-406/,-122.394,37.786,27.3115,,,4,,0.0323883,146,rental,4200,closed,,2014-04-01,,South Beach,74,SF
260 King Street #479,2,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-479/,-122.394,37.7774,4.2732,,,4,,0.0347701,147,rental,4250,closed,,2014-04-03,,South Beach,74,SF
225 Grandview Avenue,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/225-grand-view-ave/,-122.441,37.7547,119.374,,,1,,0.00316228,148,rental,9500,closed,,2014-04-09,,Eureka Valley / Dolores Heights,16,SF
301 Main Street #3B,2,2,1820,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-3b/,-122.391,37.7894,4.83899e-05,,,3,1,0.0350366,149,rental,5975,closed,,2014-04-09,,South Beach,74,SF
814 Hayes Street #2,3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,-122.43,37.7762,42.1639,,,1,,0.00304138,150,rental,5000,closed,,2014-04-09,,Alamo Square,1,SF
301 Main Street #4G,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-4g/,-122.391,37.7894,4.83899e-05,,,4,1,0.0350366,151,rental,4800,closed,,2014-04-09,,South Beach,74,SF
1325 Indiana Street #308,1,2,943,climbsf_rented,http://www.climbsf.com/for-rent/1325-indiana-st-308/,-122.39,37.7537,7.02249,,,3,,0.0226824,152,rental,3500,closed,,2014-04-15,,Central Waterfront/Dogpatch,89,SF
1160 Mission Street #2303,1,1,745,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-2303/,-122.412,37.7784,12.0417,,,23,,0.0188351,153,rental,3600,closed,,2014-04-15,,South of Market,75,SF
74 New Montgomery Street #416,2,2,1123,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-416/,-122.401,37.7875,7.64144,,,4,1,0.0252438,154,rental,4500,closed,,2014-04-22,,Yerba Buena,19,SF
155 Wood Street #155,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/155-wood-st-155/,-122.449,37.7815,83.0102,,,1,,0.00914385,156,rental,4200,closed,,2014-04-25,,Lone Mountain,41,SF
260 King Street #907,1,1,896,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-907/,-122.394,37.7774,4.2732,,,9,,0.0347701,157,rental,3650,closed,,2014-04-28,,South Beach,74,SF
1328 Mission Street #5,1,1,1145,climbsf_rented,http://www.climbsf.com/for-rent/1328-mission-st-5/,-122.415,37.7761,15.0464,,,1,,0.0180044,158,rental,3600,closed,,2014-05-06,,South of Market,75,SF
400 Beale Street #1312,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-1312/,-122.391,37.7871,7.36737,,,13,1,0.0352166,159,rental,3975,closed,,2014-05-12,,South Beach,74,SF
250 King Street #553,0,1,556,climbsf_rented,http://www.climbsf.com/for-rent/250-king-st-553/,-122.393,37.7782,5.82981,,,5,1,0.0353955,160,rental,2975,closed,,2014-05-13,,South Beach,74,SF
8 Buchanan Street #600,2,1,881,climbsf_rented,http://www.climbsf.com/for-rent/8-buchanan-st-600/,-122.427,37.7697,35.6563,,,6,1,0.00845931,161,rental,4000,closed,,2014-05-13,,Duboce Triangle,15,SF
240 Lombard Street #435,0,1,477,climbsf_rented,http://www.climbsf.com/for-rent/240-lombard-st-435/,-122.405,37.8041,5.97081,,,4,,0.0239908,162,rental,2500,closed,,2014-05-20,,North Waterfront,56,SF
306 Eureka Street,1,1,756,climbsf_rented,http://www.climbsf.com/for-rent/306-eureka-st/,-122.438,37.7572,83.7298,,,1,,0.00613922,163,rental,3250,closed,,2014-05-20,,Eureka Valley / Dolores Heights,16,SF
400 Beale Street #706,2,1,1038,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-706/,-122.391,37.7871,7.36737,,,7,1,0.0352166,164,rental,3825,closed,,2014-05-20,,South Beach,74,SF
501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,37.735,48.1922,,,51,,0.00316228,165,rental,2800,closed,,2014-06-02,,Bernal Heights,5,SF
767 Bryant Street #403,2,2,1951,climbsf_rented,http://www.climbsf.com/for-rent/767-bryant-st-403/,-122.402,37.7764,2.6443,,,4,,0.028092,166,rental,5800,closed,,2014-06-02,,South of Market,75,SF
330 Mississippi Street,3,2,1735,climbsf_rented,http://www.climbsf.com/for-rent/330-mississippi-st/,-122.395,37.7621,38.7995,,,1,,0.0242074,167,rental,5900,closed,,2014-06-04,,Potrero Hill,67,SF
101 Marina Boulevard,3,3,3000,climbsf_rented,http://www.climbsf.com/for-rent/101-marina-blvd/,-122.434,37.805,6.16826,,,1,,0.0002,168,rental,9800,closed,,2014-06-11,,Marina,43,SF
229 Brannan Street #17C,2,2,1387,climbsf_rented,http://www.climbsf.com/for-rent/229-brannan-st-17c/,-122.39,37.7826,6.83539,,,17,,0.036967,169,rental,5900,closed,,2014-06-11,,South Beach,74,SF
338 Spear Street #35C,3,3,0,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-35c/,-122.391,37.7894,0.0,,,35,,0.0350366,170,rental,7800,closed,,2014-06-12,,South Beach,74,SF
425 1st Street #4404,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-4404/,-122.392,37.7858,31.017,,,44,1,0.0343953,172,rental,3750,closed,,2014-06-17,,South Beach,74,SF
