apartment,configuration,num bedroom,num bath,price range,price range lower,price range upper,size,address,address_origin_pattern,address_origin_url,apartment page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
Fourth & U Apartments,"1 BR
                                                 - 1 BA

                                                    Addison",1 BR,1,"$2,918 - $2,929","2,918","2,929",735,"2020 Fourth St,
				Berkeley,
				CA 
                94710",@@apartment page@@,http://www.apartmentfinder.com/California/Berkeley-Apartments/Fourth-and-U-Apartments,http://www.apartmentfinder.com/California/Berkeley-Apartments/Fourth-and-U-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Page2,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Fourth & U Apartments,"1 BR
                                                 - 1 BA

                                                    Solano",1 BR,1,"$2,979 - $3,170","2,979","3,170",738,"2020 Fourth St,
				Berkeley,
				CA 
                94710",@@apartment page@@,http://www.apartmentfinder.com/California/Berkeley-Apartments/Fourth-and-U-Apartments,http://www.apartmentfinder.com/California/Berkeley-Apartments/Fourth-and-U-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Page2,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"1 BR
                                                 - 1 BA

                                                    A2",1 BR,1,Call for rates,"","",805,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"1 BR
                                                 - 1 BA

                                                    A3",1 BR,1,Call for rates,"","",871,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B7",2 BR,2,Call for rates,"","",1117,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B4",2 BR,2,Call for rates,"","",1266,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"Studio
                                                 - 1 BA

                                                    Hayes",Studio,1,"$3,411 - $3,491","3,411","3,491",619,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Lincoln",1 BR,1,"$3,595 - $3,730","3,595","3,730",682,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"Studio
                                                 - 1 BA

                                                    S3",Studio,1,Call for rates,"","",501,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"1 BR
                                                 - 1 BA

                                                    A5",1 BR,1,Call for rates,"","",863,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B12",2 BR,2,Call for rates,"","",1016,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B9",2 BR,2,Call for rates,"","",1149,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B6",2 BR,2,Call for rates,"","",1291,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Washington",1 BR,1,"$3,535 - $3,735","3,535","3,735",790,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Madison",1 BR,1,"From $3,665","3,665","",772,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"Studio
                                                 - 1 BA

                                                    S1",Studio,1,Call for rates,"","",516,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"Studio
                                                 - 1 BA

                                                    S5",Studio,1,"From $2,995","2,995","",613,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B1",2 BR,2,"$4,090 - $4,120","4,090","4,120",1155,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B8",2 BR,2,Call for rates,"","",1147,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B2",2 BR,2,"From $4,010","4,010","",1181,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Reagan",1 BR,1,"$3,550 - $3,590","3,550","3,590",774,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Jefferson",1 BR,1,"$3,595 - $3,710","3,595","3,710",891,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"Studio
                                                 - 1 BA

                                                    S4",Studio,1,Call for rates,"","",596,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"1 BR
                                                 - 1 BA

                                                    A1",1 BR,1,"From $2,845","2,845","",798,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B10",2 BR,2,Call for rates,"","",1099,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B3",2 BR,2,Call for rates,"","",1228,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Avalon Ocean Avenue,"2 BR
                                                 - 2 BA

                                                    B5",2 BR,2,Call for rates,"","",1312,"1200 Ocean Ave,
				San Francisco,
				CA 
                94112",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Avalon-Ocean-Avenue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Taft",1 BR,1,"$3,580 - $3,630","3,580","3,630",634,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
Venue,"1 BR
                                                 - 1 BA

                                                    Fillmore",1 BR,1,"From $3,700","3,700","",729,"1155 4th St,
				San Francisco,
				CA 
                94158",@@apartment page@@,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments/Venue-Apartments,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,http://www.apartmentfinder.com/California/San-Francisco-Apartments?gclid=CjwKEAjwq-OsBRDd95aryprR9wQSJACQnU3GwmNw11AsvrI-d7YP_-gMVQpeV_5-4rF9LyTFhbmYVBoChUPw_wcB&gclsrc=aw.ds,2015-07-05 09:26:37,2015-07-05 09:26:37,2015-07-05 09:26:37
