"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"656 Clayton Street #B","Cole Valley-Parnassus Heights",1,1.0,2800,True,"05/19/2015","Climb SF"
"48 Rausch Street","SOMA",3,2.0,3500,True,"05/19/2015","Climb SF"
"451 Kansas Street #356","Potrero Hill",2,2.0,4300,True,"05/18/2015","Climb SF"
"45 Bartlett Street #302","Inner Mission",1,1.0,4100,True,"05/18/2015","Climb SF"
"451 Kansas Street #520","Potrero Hill",0,1.0,2800,True,"05/18/2015","Climb SF"
"720 Gough Street #45","Van Ness-Civic Center",2,2.0,3975,True,"05/15/2015","Climb SF"
"539 Octavia Street #14","Hayes Valley",0,1.0,1850,True,"05/14/2015","Climb SF"
"318 Spear Street #8E","South Beach",1,1.0,3800,True,"05/08/2015","Climb SF"
"1800 Van Ness Avenue #505","Nob Hill",1,1.0,3650,True,"05/08/2015","Climb SF"
"333 Fremont Street #809","South Beach",2,2.0,4579,True,"05/08/2015","Climb SF"
"45 Bartlett Street #705","Inner Mission",2,2.0,4500,True,"05/07/2015","Climb SF"
"333 Fremont Street #405","South Beach",1,1.0,3675,True,"05/06/2015","Climb SF"
"425 First Street #1002","Rincon Hill",2,2.0,6625,True,"04/29/2015","Climb SF"
"300 Ivy Street #500","Hayes Valley",2,2.0,4900,True,"04/21/2015","Climb SF"
"520 6th Street #16","SOMA",2,2.0,4900,True,"04/16/2015","Climb SF"
"1875 Mission Street #407","Inner Mission",0,1.0,3200,True,"04/16/2015","Climb SF"
"539 Octavia Street #12","Hayes Valley",0,1.0,1800,True,"04/16/2015","Climb SF"
"45 Bartlett Street #706","Inner Mission",2,2.0,4500,True,"04/09/2015","Climb SF"
"45 Bartlett Street #315","Inner Mission",0,1.0,3000,True,"04/09/2015","Climb SF"
"333 Fremont Street #203","South Beach",1,1.0,3100,True,"04/09/2015","Climb SF"
"601 Fourth Street #324","SOMA",1,1.0,3750,True,"03/30/2015","Climb SF"
"539 Octavia Street #11","Hayes Valley",0,1.0,1600,True,"03/30/2015","Climb SF"
"338 Spear Street #38F","South Beach",3,2.0,7500,True,"03/29/2015","Climb SF"
"401 Harrison Street #3106","Rincon Hill",2,2.0,7400,True,"03/26/2015","Climb SF"
"601 Fourth Street #226","South Beach",1,1.5,3650,True,"03/25/2015","Climb SF"
"810 Faxon Avenue","Westwood Park",3,2.5,5650,True,"03/25/2015","Climb SF"
"318 Spear Street #6K","South Beach",1,1.0,4600,True,"03/24/2015","Climb SF"
"260 King Street #1413","Mission Bay",1,1.0,3950,True,"03/22/2015","Climb SF"
"333 Fremont Street #709","South Beach",2,2.0,4795,True,"03/19/2015","Climb SF"
"539 Octavia Street #9","Hayes Valley",0,1.0,1500,True,"03/18/2015","Climb SF"
"300 Berry Street #510","Mission Bay",2,1.0,4000,True,"03/17/2015","Climb SF"
"461 Second Street #102","South Beach",2,2.0,7000,True,"03/12/2015","Climb SF"
"401 Harrison Street #3803","Rincon Hill",2,2.0,7225,True,"03/09/2015","Climb SF"
"One Hawthorne Street #11F","SOMA",2,2.0,6000,True,"03/01/2015","Climb SF"
"35 Dolores Street #410","Mission Dolores",2,2.0,6050,True,"02/25/2015","Climb SF"
"333 Fremont Street #808","South Beach",2,2.0,4767,True,"02/20/2015","Climb SF"
"870 Harrison Street #603","Yerba Buena",1,1.0,3500,True,"02/17/2015","Climb SF"
"539 Octavia Street #4","Hayes Valley",0,1.0,1950,True,"02/16/2015","Climb SF"
"451 Kansas Street #480","Potrero Hill",2,2.0,4200,True,"02/10/2015","Climb SF"
