address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
999 16th Street #15,1,1,1500,climbsf_rented,http://www.climbsf.com/for-rent/999-16th-st-15/,-122.397,37.7662,5.06241,rental,3900,closed,,2013-03-26,,Potrero Hill,67,SF
400 Beale Street #406,2,1,1038,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-406/,-122.391,37.7871,7.36737,rental,3500,closed,,2013-04-08,,South Beach,74,SF
425 1st Street #907,1,1,819,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-street-907/,-122.392,37.7858,31.017,rental,3200,closed,,2013-04-08,,South Beach,74,SF
5 Sparta Street,3,2,1780,climbsf_rented,http://www.climbsf.com/for-rent/5-sparta-st/,-122.403,37.7181,97.0219,rental,3450,closed,,2013-04-10,,Visitacion Valley,81,SF
403 Main Street #410,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-410/,-122.39,37.7881,6.86612,rental,3500,closed,,2013-04-12,,South Beach,74,SF
333 Main Street #4D,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4d/,-122.391,37.789,1.80794,rental,3500,closed,,2015-10-04,,South Beach,74,SF
50 Lansing Street #209,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-209/,-122.394,37.786,27.3115,rental,2975,closed,,2013-05-16,,South Beach,74,SF
425 1st Street #2802,2,2,1449,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-2802/,-122.392,37.7858,31.017,rental,0,closed,,2015-10-04,,South Beach,74,SF
355 Buena Vista Avenue East #305W,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/,-122.44,37.7673,130.553,rental,2700,closed,,2013-05-21,,Buena Vista Park/Ashbury Heights,6,SF
338 Spear Street #3C,1,1,799,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-3c/,-122.391,37.7894,0.0,rental,0,closed,,2015-10-04,,South Beach,74,SF
333 Main Street #7E,2,2,1361,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-7e/,-122.391,37.789,1.80794,rental,4900,closed,,2013-05-31,,South Beach,74,SF
1097 Howard Street #304,1,1,1056,climbsf_rented,http://www.climbsf.com/for-rent/1097-howard-st-304/,-122.409,37.7779,6.48905,rental,3700,closed,,2013-06-04,,South of Market,75,SF
4517 18th Street,3,3,1400,climbsf_rented,http://www.climbsf.com/for-rent/4517-18th-st/,-122.44,37.7604,45.9379,rental,5800,closed,,2013-06-04,,Eureka Valley / Dolores Heights,16,SF
300 Third Street #1114,2,2,1161,climbsf_rented,http://www.climbsf.com/for-rent/300-3rd-st-1114/,-122.399,37.7835,7.1333,rental,4100,closed,,2013-06-05,,Yerba Buena,19,SF
400 Beale Street #506,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-506/,-122.391,37.7871,7.36737,rental,3700,closed,,2015-10-04,,South Beach,74,SF
1160 Mission Street #1905,1,1,664,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1905/,-122.412,37.7784,12.0417,rental,3250,closed,,2013-06-25,,South of Market,75,SF
140 South Van Ness Avenue #922,2,2,1160,climbsf_rented,http://www.climbsf.com/for-rent/140-south-van-ness-ave-922/,-122.419,37.7716,9.43102,rental,3800,closed,,2013-07-03,,South of Market,75,SF
199 New Montgomery Street #208,1,1,834,climbsf_rented,http://www.climbsf.com/for-rent/199-new-montgomery-st-208/,-122.399,37.7866,7.5217,rental,3300,closed,,2013-07-05,,Yerba Buena,19,SF
88 King Street #904,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-904/,-122.389,37.7807,3.99835,rental,6250,closed,,2013-07-09,,South Beach,74,SF
3009 Sacramento Street #2,4,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/3009-sacramento-st-2/,-122.443,37.7885,63.5342,rental,5500,closed,,2013-07-09,,Pacific Heights,62,SF
480 Mission Bay Boulevard North #1608,2,2,1344,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-1608/,-122.389,37.7711,2.48954,rental,5475,closed,,2013-07-15,,Mission Bay,48,SF
2075 Sutter Street #521,2,2,1068,climbsf_rented,http://www.climbsf.com/for-rent/2075-sutter-st-521/,-122.435,37.7857,46.3843,rental,4100,closed,,2013-07-16,,Lower Pacific Heights,42,SF
One Hawthorne Street #2J,1,1,794,climbsf_rented,http://www.climbsf.com/for-rent/1-hawthorne-st-2j/,-122.399,37.7857,8.63035,rental,3300,closed,,2015-10-04,,Yerba Buena,19,SF
325 Berry Street #317,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-317/,-122.396,37.7736,2.45283,rental,3650,closed,,2015-10-04,,South Beach,74,SF
38 Beideman Street,2,1,960,climbsf_rented,http://www.climbsf.com/for-rent/38-beideman-st/,-122.438,37.7821,49.0507,rental,3500,closed,,2013-07-30,,Western Addition,83,SF
1288 McAllister Street #201,2,1,1216,climbsf_rented,http://www.climbsf.com/for-rent/1288-mcallister-st-201/,-122.433,37.7787,44.4733,rental,4000,closed,,2013-07-30,,Western Addition,83,SF
755 Tennessee Street #2,2,2,1366,climbsf_rented,http://www.climbsf.com/for-rent/755-tennessee-st-2/,-122.389,37.7623,10.2006,rental,4450,closed,,2013-07-30,,Central Waterfront/Dogpatch,89,SF
338 Spear Street #39A,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-39a/,-122.391,37.7894,0.0,rental,6700,closed,,2013-08-01,,South Beach,74,SF
333 Main Street #9D,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-9d/,-122.391,37.789,1.80794,rental,5500,closed,,2015-10-04,,South Beach,74,SF
3156 Turk Street #A,4,2,2100,climbsf_rented,http://www.climbsf.com/for-rent/3156-turk-st-a/,-122.458,37.7776,69.3169,rental,5000,closed,,2013-08-09,,Lone Mountain,41,SF
451 Kansas Street #489,0,1,453,climbsf_rented,http://www.climbsf.com/for-rent/451-kansas-st-489/,-122.403,37.7639,21.4412,rental,2600,closed,,2013-08-09,,Potrero Hill,67,SF
868 Minnesota Street #313,1,1,835,climbsf_rented,http://www.climbsf.com/for-rent/868-minnesota-st-313/,-122.391,37.7597,16.3891,rental,3400,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
2030 Third Street #6,1,2,882,climbsf_rented,http://www.climbsf.com/for-rent/2030-3rd-st-6/,-122.389,37.7637,6.3825,rental,3500,closed,,2013-08-16,,Central Waterfront/Dogpatch,89,SF
333 Main Street #7B,2,2,1113,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-7b/,-122.391,37.789,1.80794,rental,4750,closed,,2015-11-17,,South Beach,74,SF
229 Brannan Street #12J,2,2,1425,climbsf_rented,http://www.climbsf.com/for-rent/229-brannan-st-12j/,-122.39,37.7826,6.83539,rental,5950,closed,,2013-08-29,,South Beach,74,SF
555 Bartlett Street #413,2,2,1135,climbsf_rented,http://www.climbsf.com/for-rent/555-bartlett-st-413/,-122.419,37.7484,29.7804,rental,4050,closed,,2013-09-10,,Inner Mission,33,SF
997 14th Street,1,1,600,climbsf_rented,http://www.climbsf.com/for-rent/997-14th-st/,-122.435,37.7672,72.7381,rental,2700,closed,,2013-09-16,,Duboce Triangle,15,SF
325 Berry Street #701,2,2,1903,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-701/,-122.396,37.7736,2.45283,rental,6500,closed,,2013-09-18,,South Beach,74,SF
1160 Mission Street #1611,1,1,765,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1611/,-122.412,37.7784,12.0417,rental,3150,closed,,2013-09-18,,South of Market,75,SF
403 Main Street #416,1,1,900,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-416/,-122.39,37.7881,6.86612,rental,3500,closed,,2013-09-26,,South Beach,74,SF
325 Berry Street #614,1,1,680,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-614/,-122.396,37.7736,2.45283,rental,3350,closed,,2013-09-27,,South Beach,74,SF
301 Main Street #6B,2,2,1793,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-6b/,-122.391,37.7894,4.83899e-05,rental,6600,closed,,2013-10-01,,South Beach,74,SF
219 Brannan Street #7E,2,2,1116,climbsf_rented,http://www.climbsf.com/for-rent/219-brannan-st-7e/,-122.39,37.783,4.0227,rental,5200,closed,,2013-10-15,,South Beach,74,SF
900 Bush Street #410,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/900-bush-st-410/,-122.413,37.79,62.3965,rental,2100,closed,,2015-10-04,,Downtown,14,SF
723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,37.6665,rental,3450,closed,,2013-10-22,,Bernal Heights,5,SF
1921 Jefferson Street #302,1,1,550,climbsf_rented,http://www.climbsf.com/for-rent/1921-jefferson-st-302/,-122.444,37.8044,6.60398,rental,2600,closed,-852,2013-10-29,2016-02-28,Marina,43,SF
338 Spear Street #21G,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-21g/,-122.391,37.7894,0.0,rental,0,closed,,2015-10-04,,South Beach,74,SF
26 Waldo Alley,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/26-waldo-alley/,-122.417,37.797,70.3667,rental,0,closed,,2015-10-04,,Russian Hill,70,SF
555 4th Street #417,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-417/,-122.397,37.7791,3.09988,rental,4000,closed,,2013-11-19,,South Beach,74,SF
18 Lansing Street #201,2,2,1173,climbsf_rented,http://www.climbsf.com/for-rent/18-lansing-st-201/,-122.394,37.7864,23.0383,rental,3700,closed,,2013-11-25,,South Beach,74,SF
318 Spear Street #5C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/318-spear-st-5c/,-122.391,37.7897,0.0,rental,3700,closed,,2013-11-25,,South Beach,74,SF
501 Beale Street #8D,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-8d/,-122.389,37.7863,2.86181,rental,5600,closed,,2015-10-02,,South Beach,74,SF
301 Mission Street #701,2,2,1955,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-701/,-122.396,37.7905,0.0,rental,7400,closed,,2013-12-11,,Yerba Buena,19,SF
425 1st Street #3503,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3503/,-122.392,37.7858,31.017,rental,5500,closed,,2015-10-04,,South Beach,74,SF
325 Berry Street #506,1,1,883,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-506/,-122.396,37.7736,2.45283,rental,3300,closed,,2013-12-16,,South Beach,74,SF
425 1st Street #3704,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3704/,-122.392,37.7858,31.017,rental,3300,closed,,2015-10-04,,South Beach,74,SF
425 1st Street #4501,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-4501/,-122.392,37.7858,31.017,rental,4000,closed,,2015-10-04,,South Beach,74,SF
657 26th Avenue,2,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/657-26th-ave/,-122.486,37.7771,58.5165,rental,4200,closed,,2015-11-17,,Central Richmond,7,SF
2125 Bryant Street #102,2,2,1311,climbsf_rented,http://www.climbsf.com/for-rent/2125-bryant-st-102/,-122.41,37.7593,6.89281,rental,5300,closed,,2013-12-17,,Inner Mission,33,SF
49 Zoe Street #4,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/49-zoe-st-4/,-122.396,37.7801,4.80433,rental,3500,closed,,2013-12-26,,South Beach,74,SF
74 New Montgomery Street #515,1,1,824,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-515/,-122.401,37.7875,7.64144,rental,3700,closed,,2013-12-26,,Yerba Buena,19,SF
66 Cleary Court #306,3,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/66-cleary-ct-306/,-122.427,37.7842,57.8952,rental,4400,closed,,2013-12-31,,Western Addition,83,SF
1940 Stockton Street #104,2,2,1363,climbsf_rented,http://www.climbsf.com/for-rent/1940-stockton-st-104/,-122.41,37.8038,26.2203,rental,0,closed,,2015-10-04,,North Beach,54,SF
250 King Street #536,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/250-king-st-536/,-122.393,37.7782,5.82981,rental,2975,closed,,2014-01-07,,South Beach,74,SF
373 Green Street,1,1,800,climbsf_rented,http://www.climbsf.com/for-rent/373-green-st/,-122.405,37.8,58.6566,rental,3200,closed,,2014-01-10,,Telegraph Hill,78,SF
970 Duncan Street #304F,2,2,1175,climbsf_rented,http://www.climbsf.com/for-rent/970-duncan-st-304f/,-122.442,37.7454,187.545,rental,3300,closed,,2014-01-13,,Diamond Heights,13,SF
650 Turk Street #501,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/650-turk-st-501/,-122.42,37.7824,28.6855,rental,2950,closed,,2014-01-20,,Van Ness/Civic Center,80,SF
425 1st Street #3305,1,1,705,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-street-3305/,-122.392,37.7858,31.017,rental,3300,closed,,2014-01-22,,South Beach,74,SF
333 Main Street #4C,1,1,842,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4c/,-122.391,37.789,1.80794,rental,3300,closed,,2014-01-28,,South Beach,74,SF
501 Beale Street #4D,1,1,759,climbsf_rented,http://www.climbsf.com/for-rent/501-beale-st-4d/,-122.389,37.7863,2.86181,rental,3800,closed,,2014-01-28,,South Beach,74,SF
1160 Mission Street #901,2,2,1184,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-901/,-122.412,37.7784,12.0417,rental,4450,closed,,2014-01-28,,South of Market,75,SF
374 27th Avenue,2,1,1350,climbsf_rented,http://www.climbsf.com/for-rent/374-27th-ave/,-122.487,37.7824,49.1082,rental,3900,closed,,2014-01-29,,Central Richmond,7,SF
403 Main Street #515,2,2,1207,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-515/,-122.39,37.7881,6.86612,rental,4150,closed,,2014-02-03,,South Beach,74,SF
200 Brannan Street #314,1,1,732,climbsf_rented,http://www.climbsf.com/for-rent/200-brannan-st-314/,-122.391,37.7836,5.39577,rental,3500,closed,-753,2014-02-05,2016-02-28,South Beach,74,SF
301 Main Street #25E,2,2,1180,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-25e/,-122.391,37.7894,4.83899e-05,rental,5800,closed,,2014-02-12,,South Beach,74,SF
425 1st Street #1608,1,1,755,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-1608/,-122.392,37.7858,31.017,rental,3800,closed,,2014-02-14,,South Beach,74,SF
1600 Webster Street #308,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1600-webster-st-308/,-122.431,37.7854,42.4765,rental,3200,closed,,2015-10-04,,Lower Pacific Heights,42,SF
435 China Basin Street #634,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-634/,-122.389,37.7716,1.8728,rental,5475,closed,,2015-10-04,,Mission Bay,48,SF
701 Minnesota Street #119,1,1,800,climbsf_rented,http://www.climbsf.com/for-rent/701-minnesota-st-119/,-122.39,37.7613,15.3004,rental,3300,closed,-685,2014-02-21,2016-01-07,Central Waterfront/Dogpatch,89,SF
301 Main Street #10C,1,1,805,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-10c/,-122.391,37.7895,0.0,rental,3900,closed,,2014-02-22,,South Beach,74,SF
435 China Basin Street #441,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-441/,-122.389,37.7716,1.8728,rental,4900,closed,,2015-10-04,,Mission Bay,48,SF
1536 Pacific Avenue #5,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/1536-pacific-ave-5/,-122.421,37.7954,55.4548,rental,6000,closed,,2014-02-27,,Nob Hill,93,SF
1837 Jefferson Street,2,2,1345,climbsf_rented,http://www.climbsf.com/for-rent/1837-jefferson-st/,-122.443,37.8045,6.83862,rental,6200,closed,,2014-03-04,,Marina,43,SF
300 Ivy Street #403,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-403/,-122.423,37.7774,20.4928,rental,3500,closed,,2015-10-04,,Hayes Valley,27,SF
301 Main Street #23F,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-23f/,-122.391,37.7894,4.83899e-05,rental,5500,closed,,2014-03-11,,South Beach,74,SF
655 Fifth Street #1,1,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/655-5th-st-1/,-122.398,37.7759,2.73163,rental,3600,closed,,2014-03-11,,South of Market,75,SF
400 Beale Street #911,2,2,995,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-911/,-122.391,37.7871,7.36737,rental,3950,closed,,2014-03-18,,South Beach,74,SF
200 Brannan Street #323,1,1,783,climbsf_rented,http://www.climbsf.com/for-rent/200-brannan-st-323/,-122.391,37.7836,4.98208,rental,3400,closed,,2014-03-18,,South Beach,74,SF
88 King Street #106,2,2,1293,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-106/,-122.389,37.7807,3.99835,rental,4750,closed,,2014-03-25,,South Beach,74,SF
388 Townsend Street #4,1,2,940,climbsf_rented,http://www.climbsf.com/for-rent/388-townsend-st-4/,-122.397,37.7759,2.76722,rental,3700,closed,,2014-03-25,,South of Market,75,SF
325 Berry Street #502,2,2,1514,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-502/,-122.396,37.7736,2.45283,rental,5900,closed,,2014-03-25,,South Beach,74,SF
50 Lansing St. #406,2,2,1066,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-406/,-122.394,37.786,27.3115,rental,4200,closed,,2014-04-01,,South Beach,74,SF
260 King Street #479,2,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-479/,-122.394,37.7774,4.2732,rental,4250,closed,,2014-04-03,,South Beach,74,SF
225 Grandview Avenue,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/225-grand-view-ave/,-122.441,37.7547,119.374,rental,9500,closed,,2015-10-04,,Eureka Valley / Dolores Heights,16,SF
301 Main Street #3B,2,2,1820,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-3b/,-122.391,37.7894,4.83899e-05,rental,5975,closed,,2014-04-09,,South Beach,74,SF
814 Hayes Street #2,3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,-122.43,37.7762,42.1639,rental,5000,closed,,2014-04-09,,Alamo Square,1,SF
301 Main Street #4G,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-4g/,-122.391,37.7894,4.83899e-05,rental,4800,closed,,2014-04-09,,South Beach,74,SF
1325 Indiana Street #308,1,2,943,climbsf_rented,http://www.climbsf.com/for-rent/1325-indiana-st-308/,-122.39,37.7537,7.02249,rental,3500,closed,,2014-04-15,,Central Waterfront/Dogpatch,89,SF
1160 Mission Street #2303,1,1,745,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-2303/,-122.412,37.7784,12.0417,rental,3600,closed,,2014-04-15,,South of Market,75,SF
74 New Montgomery Street #416,2,2,1123,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-st-416/,-122.401,37.7875,7.64144,rental,4500,closed,,2014-04-22,,Yerba Buena,19,SF
301 Main Street #14F,2,2,1307,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-14f/,-122.391,37.7894,4.83899e-05,rental,5950,closed,,2014-04-22,,South Beach,74,SF
155 Wood Street #155,3,2,0,climbsf_rented,http://www.climbsf.com/for-rent/155-wood-st-155/,-122.449,37.7815,83.0102,rental,4200,closed,,2015-10-04,,Lone Mountain,41,SF
260 King Street #907,1,1,896,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-907/,-122.394,37.7774,4.2732,rental,3650,closed,,2014-04-28,,South Beach,74,SF
1328 Mission Street #5,1,1,1145,climbsf_rented,http://www.climbsf.com/for-rent/1328-mission-st-5/,-122.415,37.7761,15.0464,rental,3600,closed,,2014-05-06,,South of Market,75,SF
400 Beale Street #1312,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-1312/,-122.391,37.7871,7.36737,rental,3975,closed,,2014-05-12,,South Beach,74,SF
250 King Street #553,0,1,556,climbsf_rented,http://www.climbsf.com/for-rent/250-king-st-553/,-122.393,37.7782,5.82981,rental,2975,closed,,2014-05-13,,South Beach,74,SF
8 Buchanan Street #600,2,1,881,climbsf_rented,http://www.climbsf.com/for-rent/8-buchanan-st-600/,-122.427,37.7697,35.6563,rental,4000,closed,,2014-05-13,,Duboce Triangle,15,SF
240 Lombard Street #435,0,1,477,climbsf_rented,http://www.climbsf.com/for-rent/240-lombard-st-435/,-122.405,37.8041,5.97081,rental,2500,closed,,2014-05-20,,North Waterfront,56,SF
306 Eureka Street,1,1,756,climbsf_rented,http://www.climbsf.com/for-rent/306-eureka-st/,-122.438,37.7572,83.7298,rental,3250,closed,,2014-05-20,,Eureka Valley / Dolores Heights,16,SF
400 Beale Street #706,2,1,1038,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-706/,-122.391,37.7871,7.36737,rental,3825,closed,,2014-05-20,,South Beach,74,SF
501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,37.735,48.1922,rental,2800,closed,,2014-06-02,,Bernal Heights,5,SF
767 Bryant Street #403,2,2,1951,climbsf_rented,http://www.climbsf.com/for-rent/767-bryant-st-403/,-122.402,37.7764,2.6443,rental,5800,closed,,2014-06-02,,South of Market,75,SF
330 Mississippi Street,3,2,1735,climbsf_rented,http://www.climbsf.com/for-rent/330-mississippi-st/,-122.395,37.7621,38.7995,rental,5900,closed,,2014-06-04,,Potrero Hill,67,SF
101 Marina Boulevard,3,3,3000,climbsf_rented,http://www.climbsf.com/for-rent/101-marina-blvd/,-122.434,37.805,6.16826,rental,9800,closed,,2014-06-11,,Marina,43,SF
229 Brannan Street #17C,2,2,1387,climbsf_rented,http://www.climbsf.com/for-rent/229-brannan-st-17c/,-122.39,37.7826,6.83539,rental,5900,closed,,2014-06-11,,South Beach,74,SF
338 Spear Street #35C,3,3,0,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-35c/,-122.391,37.7894,0.0,rental,7800,closed,,2015-10-04,,South Beach,74,SF
1661 18th Street,2,2,1050,climbsf_rented,http://www.climbsf.com/for-rent/1661-18th-st/,-122.399,37.7623,10.7957,rental,4400,closed,,2014-06-17,,Potrero Hill,67,SF
425 1st Street #4404,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-4404/,-122.392,37.7858,31.017,rental,3750,closed,,2015-10-04,,South Beach,74,SF
2 Mint Plaza #203,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/2-mint-plaza-203/,-122.408,37.7831,9.74853,rental,2775,closed,,2015-10-04,,South of Market,75,SF
425 First Street #3807,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-3807/,-122.392,37.7858,31.017,rental,4200,closed,,2015-10-04,,South Beach,74,SF
301 Mission Street #14D,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-14d/,-122.396,37.7905,0.0,rental,2950,closed,,2014-06-20,,Yerba Buena,19,SF
555 Fourth Street #928,1,1,694,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-928/,-122.397,37.7791,3.09988,rental,3500,closed,,2014-06-21,,South Beach,74,SF
181 O'Farrell Street #502,1,1,1499,climbsf_rented,http://www.climbsf.com/for-rent/181-ofarrell-st-502/,-122.408,37.7863,15.3914,rental,4000,closed,,2014-06-24,,Downtown,14,SF
1945 Jackson Street,3,1,1643,climbsf_rented,http://www.climbsf.com/for-rent/1945-jackson-st/,-122.427,37.7931,90.9586,rental,5975,closed,,2014-06-30,,Pacific Heights,62,SF
325 Berry Street #710,1,1,1112,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-710/,-122.396,37.7736,2.45283,rental,3600,closed,,2015-10-14,,South Beach,74,SF
1047 Mississippi Street #7,1,1,890,climbsf_rented,http://www.climbsf.com/for-rent/1047-mississippi-st-7/,-122.393,37.7532,28.8087,rental,3450,closed,-554,2014-07-02,2016-01-07,Potrero Hill,67,SF
